id,restart,initial_scale_px,initial_control_mae_px,initial_render_loss,initial_p0x,initial_p0y,initial_p1x,initial_p1y,initial_p2x,initial_p2y,render_loss,control_mae_px,curve_rmse_px,optimizer_success,iterations,function_evaluations,message,solution_p0x,solution_p0y,solution_p1x,solution_p1y,solution_p2x,solution_p2y
minimal-test-000139,2,9.283177667225555,5.273631659646829,0.011118086021173175,0.18642139434814453,0.7640247941017151,0.6916555166244507,0.8045753836631775,0.7006170749664307,0.5748211145401001,0.0034819307625010786,3.531503200531006,2.9850015846747775,True,6,294,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.18186573684215546,0.7660702466964722,0.6698853373527527,0.7542538046836853,0.6923229694366455,0.5606962442398071
minimal-test-000139,3,20.0,16.588010020554066,0.012316010963208814,0.2877556085586548,0.8280784487724304,0.778043806552887,0.8005512952804565,0.689895510673523,0.6445157527923584,0.011408720657380599,14.573381423950195,15.850938737835953,True,6,308,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.32027116417884827,0.8211091756820679,0.7339193224906921,0.7543385028839111,0.6748195886611938,0.6488435864448547
minimal-test-000033,0,2.0,0.7630806925396124,0.0019663104212273145,0.30583691596984863,0.6349214315414429,0.7581550478935242,0.10065236687660217,0.6749131083488464,0.4445926547050476,0.00018914826960195845,0.4287159740924835,0.336659406667539,True,7,301,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.30447787046432495,0.6329199075698853,0.7580899596214294,0.1053595021367073,0.6618555784225464,0.4445169270038605
minimal-test-000033,1,4.308869380063768,4.759333980580171,0.013472125676250892,0.33240145444869995,0.6342290639877319,0.7484484314918518,0.10883399099111557,0.6997619271278381,0.4866808354854584,0.0123285171911902,5.696958541870117,4.8374503144373975,True,4,252,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.29177069664001465,0.5874642729759216,0.7099277377128601,0.1000056266784668,0.6740621328353882,0.47513651847839355
minimal-test-000033,2,9.283177667225555,5.944194806118806,0.008145076045123932,0.2694876194000244,0.6437255144119263,0.7977127432823181,0.10001000016927719,0.7043305039405823,0.4120810627937317,0.003906479258370015,4.326911449432373,4.098575647465407,True,9,294,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2882850170135498,0.650287389755249,0.7678489089012146,0.10012117773294449,0.6900420784950256,0.39909645915031433
minimal-test-000033,3,20.0,19.58054860557119,0.013318596127176362,0.1769019067287445,0.5718567371368408,0.8747128844261169,0.2615947127342224,0.696967363357544,0.41836872696876526,0.013318596127176362,19.580549240112305,10.650114315529203,True,1,126,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.1769019067287445,0.5718567371368408,0.8747128844261169,0.2615947127342224,0.696967363357544,0.41836872696876526
minimal-test-000478,0,2.0,0.7469025899966558,0.0007897083465739237,0.23281928896903992,0.3182739317417145,0.5494904518127441,0.8431743383407593,0.6086792349815369,0.7302392721176147,0.00024402837115238254,0.9287775158882141,1.0052619761173411,True,4,266,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.22925768792629242,0.31953418254852295,0.5478070378303528,0.838946521282196,0.6089162826538086,0.725171685218811
minimal-test-000478,1,4.308869380063768,4.209954716265202,0.009926274431341163,0.2037731558084488,0.33301806449890137,0.5668826103210449,0.8296591639518738,0.6571789979934692,0.7231616973876953,0.001058798519407763,2.7145256996154785,2.1801781618640694,True,7,287,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.22210104763507843,0.30488133430480957,0.5419206619262695,0.8396359086036682,0.6231431365013123,0.7348982691764832
minimal-test-000478,2,9.283177667225555,8.68158691128095,0.0129258008350399,0.2107906937599182,0.33218488097190857,0.4776676893234253,0.8650938272476196,0.6361797451972961,0.6457679271697998,0.005644638063558757,8.029220581054688,8.890628723772645,True,7,301,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.23581965267658234,0.3180323839187622,0.5003477931022644,0.8219667673110962,0.6327157616615295,0.619782567024231
minimal-test-000478,3,20.0,16.330997422337532,0.011863570795965443,0.21311119198799133,0.2506427764892578,0.48465391993522644,0.8688434362411499,0.7547861933708191,0.8274877667427063,0.004439805640393413,15.417952537536621,12.625319120658215,True,8,308,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.1935395449399948,0.2479068487882614,0.5066395401954651,0.8374771475791931,0.7633209824562073,0.8135408163070679
minimal-test-000400,0,2.0,1.4159986500938733,0.003440539818868724,0.3927702009677887,0.7257266640663147,0.14163631200790405,0.291814386844635,0.7985740303993225,0.22046582400798798,0.0005746428473350125,0.869146466255188,0.7298272984690507,True,4,252,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.40314435958862305,0.7213134765625,0.14361269772052765,0.28939375281333923,0.7987440824508667,0.21903501451015472
minimal-test-000400,1,4.308869380063768,4.5365805352727575,0.013978166021310485,0.38662123680114746,0.6846883296966553,0.1162288635969162,0.28826093673706055,0.819743812084198,0.25986501574516296,0.0003663380180503574,1.2267910242080688,0.9903588471235096,True,13,462,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.39447447657585144,0.7043835520744324,0.14681777358055115,0.29109281301498413,0.8094477653503418,0.2170594036579132
minimal-test-000400,2,9.283177667225555,8.204766393949589,0.017367139870654146,0.4114077687263489,0.6342817544937134,0.10614600032567978,0.314227819442749,0.8154677152633667,0.15001000463962555,0.0008303244704744643,3.3767294883728027,2.9875402078880273,True,15,399,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.38105422258377075,0.6819770932197571,0.16434921324253082,0.2878818213939667,0.8130083680152893,0.21625801920890808
