period,residue,signal,mean_error,mae,std,mean_error_px,mae_px,std_px,count,std_definition
32,20,raw,0.014058691263198853,0.014058691263198853,0.002500557652218758,3.135088151693344,3.135088151693344,0.5576243564447831,5,sample_ddof1; count=1 written as 0; empty=nan
32,21,raw,0.011803391575813293,0.011803391575813293,0.0023986386818831374,2.6321563214063644,2.6321563214063644,0.5348964260599397,5,sample_ddof1; count=1 written as 0; empty=nan
32,22,raw,0.010675150156021117,0.010675150156021117,0.002334139393971567,2.3805584847927093,2.3805584847927093,0.5205130848556595,5,sample_ddof1; count=1 written as 0; empty=nan
32,23,raw,0.01100485324859619,0.01100485324859619,0.003864849101274962,2.4540822744369506,2.4540822744369506,0.8618613495843166,5,sample_ddof1; count=1 written as 0; empty=nan
32,24,raw,0.01201472282409668,0.01201472282409668,0.004500471362996137,2.6792831897735594,2.6792831897735594,1.0036051139481388,5,sample_ddof1; count=1 written as 0; empty=nan
32,25,raw,0.010201531648635864,0.010201531648635864,0.005208799047896487,2.2749415576457976,2.2749415576457976,1.1615621876809166,5,sample_ddof1; count=1 written as 0; empty=nan
32,26,raw,0.009709054231643676,0.009709054231643676,0.005369903811447561,2.16511909365654,2.16511909365654,1.197488549952806,5,sample_ddof1; count=1 written as 0; empty=nan
32,27,raw,0.00940687656402588,0.00940687656402588,0.00642220346094415,2.097733473777771,2.097733473777771,1.4321513717905454,5,sample_ddof1; count=1 written as 0; empty=nan
32,28,raw,0.009357970952987672,0.009357970952987672,0.005919240874640343,2.0868275225162507,2.0868275225162507,1.3199907150447965,5,sample_ddof1; count=1 written as 0; empty=nan
32,29,raw,0.007590442895889282,0.007700425386428833,0.005477196739369695,1.69266876578331,1.7171948611736298,1.2214148728794418,5,sample_ddof1; count=1 written as 0; empty=nan
32,30,raw,0.008593392372131348,0.008593392372131348,0.00458641393425647,1.9163264989852906,1.9163264989852906,1.0227703073391927,5,sample_ddof1; count=1 written as 0; empty=nan
32,31,raw,0.009840023517608643,0.009840023517608643,0.005401738679625456,2.1943252444267274,2.1943252444267274,1.2045877255564768,5,sample_ddof1; count=1 written as 0; empty=nan
32,0,detrended,-0.003717083274575092,0.004171936949087439,0.005600948609274226,-0.8289095702302453,0.9303419396464987,1.2490115398681523,5,sample_ddof1; count=1 written as 0; empty=nan
32,1,detrended,-0.005098200561805068,0.005098200561805068,0.005020251305848487,-1.1368987252825304,1.1368987252825304,1.1195160412042127,5,sample_ddof1; count=1 written as 0; empty=nan
