period,residue,signal,mean_error,mae,std,mean_error_px,mae_px,std_px,count,std_definition
32,9,raw,0.002511349320411682,0.002511349320411682,0.0014492804954061016,0.5600308984518051,0.5600308984518051,0.32318955047556064,5,sample_ddof1; count=1 written as 0; empty=nan
32,10,raw,0.002011573314666748,0.002011573314666748,0.0011362853858855753,0.4485808491706848,0.4485808491706848,0.2533916410524833,5,sample_ddof1; count=1 written as 0; empty=nan
32,11,raw,0.0015408873558044433,0.0015408873558044433,0.0009374150897566095,0.3436178803443909,0.3436178803443909,0.20904356501572394,5,sample_ddof1; count=1 written as 0; empty=nan
32,12,raw,0.0012757390737533568,0.0012757390737533568,0.0007864911932921057,0.2844898134469986,0.2844898134469986,0.17538753610413957,5,sample_ddof1; count=1 written as 0; empty=nan
32,13,raw,0.0007068991661071777,0.0008135676383972168,0.0008520909647980032,0.15763851404190063,0.18142558336257936,0.19001628514995475,5,sample_ddof1; count=1 written as 0; empty=nan
32,14,raw,-3.6329030990600586e-05,0.0006858885288238525,0.0008164358054175294,-0.00810137391090393,0.1529531419277191,0.18206518460810905,5,sample_ddof1; count=1 written as 0; empty=nan
32,15,raw,-0.0007110267877578735,0.0007110267877578735,0.0006684021280668273,-0.1585589736700058,0.1585589736700058,0.14905367455890248,5,sample_ddof1; count=1 written as 0; empty=nan
32,16,raw,-0.0013422340154647828,0.0013422340154647828,0.0005372070431968863,-0.2993181854486465,0.2993181854486465,0.11979717063290564,5,sample_ddof1; count=1 written as 0; empty=nan
32,17,raw,-0.0014135688543319702,0.0014135688543319702,0.0006555062653560195,-0.31522585451602936,0.31522585451602936,0.14617789717439236,5,sample_ddof1; count=1 written as 0; empty=nan
32,18,raw,-0.0016154825687408447,0.0016154825687408447,0.000591492857079002,-0.3602526128292084,0.3602526128292084,0.1319029071286174,5,sample_ddof1; count=1 written as 0; empty=nan
32,19,raw,-0.0021450966596603394,0.0021450966596603394,0.0007235139381831461,-0.4783565551042557,0.4783565551042557,0.1613436082148416,5,sample_ddof1; count=1 written as 0; empty=nan
32,20,raw,-0.002433302998542786,0.002433302998542786,0.0009360405054278589,-0.5426265686750412,0.5426265686750412,0.20873703271041255,5,sample_ddof1; count=1 written as 0; empty=nan
32,21,raw,-0.0025084793567657472,0.0025084793567657472,0.0012123763196563984,-0.5593908965587616,0.5593908965587616,0.2703599192833768,5,sample_ddof1; count=1 written as 0; empty=nan
32,22,raw,-0.0020904749631881713,0.0020904749631881713,0.001218124477095624,-0.4661759167909622,0.4661759167909622,0.2716417583923241,5,sample_ddof1; count=1 written as 0; empty=nan
32,23,raw,-0.0012474119663238525,0.0012488424777984618,0.0011910543940713914,-0.2781728684902191,0.278491872549057,0.26560512987792023,5,sample_ddof1; count=1 written as 0; empty=nan
32,24,raw,-0.0002908170223236084,0.0009531199932098389,0.001250063517978759,-0.06485219597816468,0.21254575848579407,0.2787641645092633,5,sample_ddof1; count=1 written as 0; empty=nan
32,25,raw,0.00020806193351745604,0.0008810341358184814,0.0011417198762820136,0.0463978111743927,0.19647061228752136,0.254603532410889,5,sample_ddof1; count=1 written as 0; empty=nan
32,26,raw,0.0003282666206359863,0.001019752025604248,0.0012777737883712765,0.07320345640182495,0.2274047017097473,0.2849435548067947,5,sample_ddof1; count=1 written as 0; empty=nan
32,27,raw,-0.0001740872859954834,0.0008420050144195557,0.0013247558399970593,-0.038821464776992796,0.1877671182155609,0.29542055231934417,5,sample_ddof1; count=1 written as 0; empty=nan
32,28,raw,-0.0001824498176574707,0.0007709264755249023,0.0011390085762524613,-0.04068630933761597,0.17191660404205322,0.25399891250429885,5,sample_ddof1; count=1 written as 0; empty=nan
32,29,raw,-0.0005015850067138672,0.0008343696594238281,0.001135467289039467,-0.11185345649719239,0.18606443405151368,0.25320920545580117,5,sample_ddof1; count=1 written as 0; empty=nan
32,30,raw,-0.0011481940746307373,0.0013722598552703858,0.001368299004510993,-0.2560472786426544,0.306013947725296,0.30513067800595145,5,sample_ddof1; count=1 written as 0; empty=nan
32,31,raw,-0.0016314804553985596,0.0016940176486968995,0.0013988858549657795,-0.36382014155387876,0.3777659356594086,0.3119515456573688,5,sample_ddof1; count=1 written as 0; empty=nan
32,0,detrended,-0.0009478369636704969,0.002665872007807492,0.0030986200754311564,-0.2113676428985208,0.5944894577410706,0.6909922768211477,5,sample_ddof1; count=1 written as 0; empty=nan
32,1,detrended,-0.001531154539693245,0.0018978844574128399,0.0015005567916301279,-0.3414474623515936,0.42322823400306325,0.3346241645335185,5,sample_ddof1; count=1 written as 0; empty=nan
32,2,detrended,-0.001732531512459767,0.001732531512459767,0.00044409930251901157,-0.386354527278528,0.386354527278528,0.09903414446173958,5,sample_ddof1; count=1 written as 0; empty=nan
32,3,detrended,-0.0013669103611036696,0.0013669103611036696,0.0007786573714902782,-0.3048210105261183,0.3048210105261183,0.17364059384233202,5,sample_ddof1; count=1 written as 0; empty=nan
32,4,detrended,-0.0007739511341097546,0.0012631705212632197,0.001432597662850802,-0.17259110290647528,0.28168702624169795,0.31946927881572884,5,sample_ddof1; count=1 written as 0; empty=nan
32,5,detrended,-0.00014711858748998522,0.0014254751011116289,0.0017715243216570515,-0.03280744501026669,0.31788094754789326,0.39504992372952247,5,sample_ddof1; count=1 written as 0; empty=nan
32,6,detrended,0.0013083824342808462,0.0019270120624513515,0.0020356260156404325,0.29176928284462866,0.42972368992665133,0.45394460148781646,5,sample_ddof1; count=1 written as 0; empty=nan
32,7,detrended,0.0025725138033035697,0.002748795784988032,0.0020949598348636504,0.573670578136696,0.6129814600523311,0.46717604317459394,5,sample_ddof1; count=1 written as 0; empty=nan
32,8,detrended,0.0029941812021419666,0.0029941812021419666,0.0019098497462842448,0.6677024080776587,0.6677024080776587,0.4258964934213866,5,sample_ddof1; count=1 written as 0; empty=nan
32,9,detrended,0.0029431211830345024,0.0029431211830345024,0.0014431741946556306,0.656316023816694,0.656316023816694,0.32182784540820564,5,sample_ddof1; count=1 written as 0; empty=nan
32,10,detrended,0.002445649196649511,0.002445649196649511,0.001114637644032906,0.545379770852841,0.545379770852841,0.248564194619338,5,sample_ddof1; count=1 written as 0; empty=nan
32,11,detrended,0.001977267257147149,0.001977267257147149,0.0008892973434264427,0.44093059834381415,0.44093059834381415,0.1983133075840967,5,sample_ddof1; count=1 written as 0; empty=nan
32,12,detrended,0.0017144229944560051,0.0017144229944560051,0.0007128079098081033,0.3823163277636891,0.3823163277636891,0.158956163887207,5,sample_ddof1; count=1 written as 0; empty=nan
32,13,detrended,0.0011478871061697687,0.0011478871061697687,0.0007618078382734981,0.2559788246758584,0.2559788246758584,0.16988314793499007,5,sample_ddof1; count=1 written as 0; empty=nan
32,14,detrended,0.0004069629284319332,0.0006860725772865597,0.0007244781151636122,0.09075273304032111,0.15299418473490284,0.16155861968148555,5,sample_ddof1; count=1 written as 0; empty=nan
32,15,detrended,-0.0002654308089753972,0.0003717046276871738,0.0005905422363306203,-0.05919107040151357,0.08289013197423975,0.13169091870172833,5,sample_ddof1; count=1 written as 0; empty=nan
32,16,detrended,-0.0008943340173223636,0.0008943340173223636,0.0005141877020384129,-0.1994364858628871,0.1994364858628871,0.11466385755456608,5,sample_ddof1; count=1 written as 0; empty=nan
32,17,detrended,-0.0009633648368296084,0.0009633648368296084,0.0006234544917065997,-0.2148303586130027,0.2148303586130027,0.13903035165057176,5,sample_ddof1; count=1 written as 0; empty=nan
32,18,detrended,-0.0011629745318785406,0.0011629745318785406,0.0005740429511034621,-0.2593433206089145,0.2593433206089145,0.12801157809607205,5,sample_ddof1; count=1 written as 0; empty=nan
32,19,detrended,-0.001690284603438092,0.001690284603438092,0.0006831357065824209,-0.37693346656669463,0.37693346656669463,0.15233926256787986,5,sample_ddof1; count=1 written as 0; empty=nan
32,20,detrended,-0.0019761869229605955,0.0019761869229605955,0.0008998194211615095,-0.4406896838202129,0.4406896838202129,0.20065973091901662,5,sample_ddof1; count=1 written as 0; empty=nan
32,21,detrended,-0.0020490592618236146,0.0020490592618236146,0.0011617477696336273,-0.456940215386666,0.456940215386666,0.2590697526282989,5,sample_ddof1; count=1 written as 0; empty=nan
32,22,detrended,-0.0016287508488860962,0.0016287508488860962,0.001207366582446647,-0.36321143930159944,0.36321143930159944,0.26924274788560226,5,sample_ddof1; count=1 written as 0; empty=nan
32,23,detrended,-0.0007833838326618345,0.0010385184725717046,0.0012242728328964812,-0.1746945946835891,0.2315896193834901,0.2730128417359153,5,sample_ddof1; count=1 written as 0; empty=nan
32,24,detrended,0.00017551513069835224,0.0009496838481306372,0.0013100244015117433,0.039139874145732556,0.2117794981331321,0.29213544153711873,5,sample_ddof1; count=1 written as 0; empty=nan
32,25,detrended,0.0006766981058993594,0.0011441904642399488,0.0011725235321580563,0.15090367761555715,0.2551544735255085,0.26147274767124656,5,sample_ddof1; count=1 written as 0; empty=nan
32,26,detrended,0.0007992068123778322,0.0013318075884566221,0.001307774425648953,0.17822311916025663,0.2969930922258267,0.2916336969197165,5,sample_ddof1; count=1 written as 0; empty=nan
32,27,detrended,0.0002991569251063053,0.0011141965747033249,0.0013652895782391963,0.06671199429870608,0.2484658361588415,0.30445957594734074,5,sample_ddof1; count=1 written as 0; empty=nan
32,28,detrended,0.0002930984128042607,0.0009657746326053014,0.0011803658939240837,0.06536094605535013,0.21536774307098222,0.26322159434507064,5,sample_ddof1; count=1 written as 0; empty=nan
32,29,detrended,-2.3732756892193024e-05,0.0008331064034860635,0.0011892171338022362,-0.005292404786959043,0.18578272797739215,0.26519542083789865,5,sample_ddof1; count=1 written as 0; empty=nan
32,30,detrended,-0.0006680378054491204,0.0011552293116848258,0.001455304909768075,-0.14897243061515386,0.25761613650571613,0.3245329948782807,5,sample_ddof1; count=1 written as 0; empty=nan
32,31,detrended,-0.0011490201668570002,0.0014635243711864968,0.0014962650950316391,-0.256231497209111,0.32636593477458875,0.3336671161920555,5,sample_ddof1; count=1 written as 0; empty=nan
